"year","title","artists","All artist","main_artist","genius_url","lyrics"
2025,"High Road","Koe Wetzel",NA,"Koe Wetzel","https://genius.com/Koe-wetzel-and-jessie-murph-high-road-lyrics",NA
2025,"Love Somebody","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-love-somebody-lyrics",NA
2025,"I'm The Problem","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-im-the-problem-lyrics",NA
2025,"Good News","Shaboozey",NA,"Shaboozey","https://genius.com/Shaboozey-good-news-lyrics",NA
2025,"Liar","Jelly Roll",NA,"Jelly Roll","https://genius.com/Jelly-roll-liar-lyrics",NA
2025,"After The Bars Are Closed","Thomas Rhett",NA,"Thomas Rhett","https://genius.com/Thomas-rhett-after-all-the-bars-are-closed-lyrics",NA
2025,"Hometown Home","LoCash",NA,"LoCash","https://genius.com/Locash-hometown-home-lyrics",NA
2025,"Just In Case","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-just-in-case-lyrics",NA
2025,"Happen To Me","Russell Dickerson",NA,"Russell Dickerson","https://genius.com/Russell-dickerson-happen-to-me-lyrics",NA
2025,"Whiskey Drink","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-whiskey-drink-lyrics",NA
2024,"A Bar Song (Tipsy)","Shaboozey",NA,"Shaboozey","https://genius.com/Shaboozey-a-bar-song-tipsy-lyrics",NA
2024,"I Had Some Help","Post Malone","Morgan Wallen","Post Malone","https://genius.com/Post-malone-i-had-some-help-lyrics",NA
2024,"Nobody's Nobody","Brother Osborne",NA,"Brother Osborne","https://genius.com/Brothers-osborne-nobodys-nobody-lyrics",NA
2024,"World On Fire","Nate Smith",NA,"Nate Smith","https://genius.com/Nate-smith-world-on-fire-lyrics",NA
2024,"Texas Hold 'Em","Beyonce",NA,"Beyonce","https://genius.com/Beyonce-texas-hold-em-lyrics",NA
2024,"I Remember Everything","Zach Bryan","Kacey Musgraves","Zach Bryan","https://genius.com/Zach-bryan-i-remember-everything-lyrics",NA
2024,"Austin","Dasha",NA,"Dasha","https://genius.com/Dasha-austin-boots-stop-workin-lyrics",NA
2024,"Pretty Little Poison","Warren Zeiders",NA,"Warren Zeiders","https://genius.com/Warren-zeiders-pretty-little-poison-lyrics",NA
2024,"Thinkin' Bout Me","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-thinkin-bout-me-lyrics",NA
2024,"Last Night","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-last-night-lyrics",NA
2023,"Last Night","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-last-night-lyrics",NA
2023,"Fast Car","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-fast-car-lyrics",NA
2023,"Rock And A Hard Place","Bailey Zimmerman",NA,"Bailey Zimmerman","https://genius.com/Bailey-zimmerman-rock-and-a-hard-place-lyrics",NA
2023,"I Remember Everything","Zach Bryan","Kacey Musgraves","Zach Bryan","https://genius.com/Zach-bryan-i-remember-everything-lyrics",NA
2023,"You Proof","Margan Wallen",NA,"Margan Wallen","https://genius.com/Siriusxm-the-highway-hot-30-year-end-countdown-2022-lyrics",NA
2023,"Something In The Orange","Zach Bryan",NA,"Zach Bryan","https://genius.com/Zach-bryan-something-in-the-orange-lyrics",NA
2023,"Easy As Hello","Sunny Sweeney",NA,"Sunny Sweeney","https://genius.com/Sunny-sweeney-easy-as-hello-lyrics",NA
2023,"Dancin' In The Country","Tyler Habbard",NA,"Tyler Habbard","https://genius.com/Tyler-hubbard-dancin-in-the-country-lyrics",NA
2023,"Need A Favor","Jelly Roll",NA,"Jelly Roll","https://genius.com/Jelly-roll-need-a-favor-lyrics",NA
2023,"Thinkin' Bout Me","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-thinkin-bout-me-lyrics",NA
2022,"Wasted on You","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-wasted-on-you-lyrics",NA
2022,"You Proof","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-you-proof-lyrics",NA
2022,"Til You Can't","Cody Johnson",NA,"Cody Johnson","https://genius.com/Cody-johnson-til-you-cant-lyrics",NA
2022,"Thinking 'Bout You","Dustin Lynch","Lauren Alaina Or Mackenzie Porter","Dustin Lynch","https://genius.com/Dustin-lynch-thinking-bout-you-lyrics",NA
2022,"The Kind Of Love We Make","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-the-kind-of-love-we-make-lyrics",NA
2022,"Thought You Should Know","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-thought-you-should-know-lyrics",NA
2022,"Fancy Like","Walker Hayes",NA,"Walker Hayes","https://genius.com/Walker-hayes-fancy-like-lyrics",NA
2022,"Something In The Orange","Zach Bryan",NA,"Zach Bryan","https://genius.com/Zach-bryan-something-in-the-orange-lyrics",NA
2022,"Country'd Look Good On You","Frank Ray",NA,"Frank Ray","https://genius.com/Frank-ray-countryd-look-good-on-you-lyrics",NA
2022,"Damn Strait","Scotty McCreery",NA,"Scotty McCreery","https://genius.com/Scotty-mccreery-damn-strait-lyrics",NA
2021,"Forever After All","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-forever-after-all-lyrics",NA
2021,"Fancy Like","Walker Hayes",NA,"Walker Hayes","https://genius.com/Walker-hayes-fancy-like-lyrics",NA
2021,"Starting Over","Chris Stapleton",NA,"Chris Stapleton","https://genius.com/Chris-stapleton-starting-over-lyrics",NA
2021,"Glad You Exist","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-glad-you-exist-lyrics",NA
2021,"Things A Man Oughta Know","Lainey Wilson",NA,"Lainey Wilson","https://genius.com/Lainey-wilson-things-a-man-oughta-know-lyrics",NA
2021,"I Hope","Gabby Barrett",NA,"Gabby Barrett","https://genius.com/Gabby-barrett-i-hope-lyrics",NA
2021,"Better Together","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-better-together-lyrics",NA
2021,"Famous Friends","Chris Young","Kane Brown","Chris Young","https://genius.com/Chris-young-and-kane-brown-famous-friends-lyrics",NA
2021,"The Good Ones","Gabby Barrett",NA,"Gabby Barrett","https://genius.com/Gabby-barrett-the-good-ones-lyrics",NA
