"year","title","artists","All artist","main_artist","genius_url","lyrics"
2025,"High Road","Koe Wetzel",NA,"Koe Wetzel","https://genius.com/Koe-wetzel-and-jessie-murph-high-road-lyrics","11 Contributors Translations Español High Road Lyrics [Verse 1: Koe Wetzel] I can tell that you're mad And I ain't half surprised about that Since the day that we met It's always who cuts first and never who bleeds last Rumors always turn into yelling and fighting And once it's in your mind, only one way you're driving [Chorus: Koe Wetzel] I know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well, I'ma take the high road, take the high road, take the high road [Verse 2: Jessie Murph] You don't wanna talk about it, boy, that's no surprisе You come home smelling likе liquor like every other night If I catch you with her, you gon' catch me with him You think I don't hear about it, you better think again You know that rumors always turn into yelling and fighting And once it's in my mind, only one way I'm driving [Chorus: Koe Wetzel & Jessie Murph] You know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well, I'ma take the high road, take the high road, take the high road Whoa, whoa [Instrumental Break] [Chorus: Koe Wetzel & Jessie Murph] I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before And I don't need a ticket to your shit show Knock yourself out and hit a new low Well I'ma take the high road, take the high road, take the high road I'ma take the high road, take the high road, take the high road Oh, yeah, yeah, mm"
2025,"Love Somebody","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-love-somebody-lyrics","27 Contributors Translations Español Love Somebody Lyrics [Verse 1] Rumors goin' all over town Can't keep my name out they mouth these days Yeah, they say I live too fast to settle down Truth is I just ain't about these games They all play [Pre-Chorus] Wanna find Somethin' stronger than the whiskeyAnd oh, I've triedBut every time I feel her kiss me, I keep comin' up empty, yeah [Chorus] I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever findA somethin' more than just a crazy night I just wanna love somе- [Verse 2] ​-Body who ain't hypnotizedBy dollar signs and blindin' lightsLike they tеnd to be, yeah I need someone that I'd be proud To take on back to my hometown Honest eyes that just ain't gonna lead [Pre-Chorus] To lonely nights Even when she's up against me I don't know why It feels like there's nobody with me And I'm still empty, yeah [Chorus] I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever findA somethin' more than just a crazy night I just wanna love somebody [Instrumental Break] [Chorus] I just wanna love somebody (Woah) I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever findA somethin' more than just a crazy night I just wanna love somebody"
2025,"I'm The Problem","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-im-the-problem-lyrics","25 Contributors Translations Português Українська Español I’m The Problem Lyrics [Verse 1] You say I'll never changeI'm just a-go around town with some gasolineJust tryin' to bum a flameGonna burn the whole place down And how do you explain Ever fallin' in love with a guy like me in the first place Then turn around, say that I'm the worst thing? [Chorus] I guess I'm the problem And you're Ms. ""Never Do No Wrong"" If I'm so awful Then why'd you stick around this long? And if it's the whiskey Then why you keep on pullin' it off the shelf? You hate that when you look at me, you halfway see yourself And it got me thinkin'If I'm the problem, well, you might be the reason [Verse 2] We try to go our sеparate ways And we're back and forth likе a swingin' door And tomorrow's like yesterday Some days better than the night before And you're back with me againThen you go and tell your friends [Chorus]That I'm the problem And you're Ms. ""Never Do No Wrong"" If I'm so awful Then why'd you stick around this long? And if it's the whiskey Then why you keep on pullin' it off the shelf? You hate that when you look at me, you halfway see yourself And it got me thinkin' If I'm the problem, well, you might be the reason [Bridge] If I'm such a waste of breath, such a waste of time Then why you on your way to waste another Friday night? [Chorus] If I'm the problem And you're Ms. ""Never Do No Wrong"" If I'm so awful Then why'd you stick around this long? And if it's the whiskey Then why you keep on pullin' it off the shelf? You hate that when you look at me, you halfway see yourself And it got me thinkin' If I'm the problem, well, you might be the reason"
2025,"Good News","Shaboozey",NA,"Shaboozey","https://genius.com/Shaboozey-good-news-lyrics","16 Contributors Translations Українська Good News Lyrics [Verse 1] Man, what a hell of a year it's been Keep on bluffin', but I just can't win Drowned my sorrows, but they learned to swim Man, what a hell of a year it's been Head in a bottle, but my heart in a case It's gettin' harder to act my age Play a sad song on a tiny violin For the man at the bar confessin' his sins [Chorus] I need some good news Sittin' here, sippin' on cold truth Nobody knows what I'm goin' through Bet the devil wouldn't walk in my shoes Wish someone told me Livin' this life would be lonely Tryna get away from the old me Still stuck singin' these blues All I really need is a little good news [Verse 2] Love keeps knockin', but I just ain't home I ain't pickin' no flowers from the seeds that I've sown They say it gets darker when you're coverin' them doors Still lookin' for the right at the end of my wrongs At the end of my wrongs [Chorus] I need some good news Sittin' here, sippin' on cold truth Nobody knows what I'm goin' through Bet the devil wouldn't walk in my shoes Wish someone told me Livin' this life would be lonely Tryna get away from the old me Still stuck singin' these blues All I really need is a little good news [Post-Chorus] Is a little good news Ooh, oh Oh [Chorus] I need some good news Sittin' here, sippin' on cold truth Nobody knows what I'm goin' through Bet the devil wouldn't walk in my shoes Wish someone told me Livin' this life would be lonely Tryna get away from the old me Still stuck singin' these blues All I really need is a little good news [Outro] All I really need is a little— Somethin' bring me back to the middle All I really need is a little good news"
2025,"Liar","Jelly Roll",NA,"Jelly Roll","https://genius.com/Jelly-roll-liar-lyrics","12 Contributors Translations Українська Liar Lyrics [Verse 1] I, I let you drive around my mindI can't count the times you made me feel like I'm nothin'Played me like a fool, like a fool [Pre-Chorus] Saying, ""Drink another whiskeyPop another pillMoney makes you happyHeaven isn't realYou won't find nobody to loveBecause your heart's too broke""Now I know [Chorus] You ain't nothin' but a liar Yeah, I walk right out the fire Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar [Verse 2] You burned me one too many times Like a devil in disguise, hiding your true colors Just leave me alone Keep leading me on [Pre-Chorus] Saying, ""Drink another whiskey Pop another pill Money makes you happy Heaven isn't real You won't find nobody to love Because your heart's too broke"" Now I know [Chorus] You ain't nothin' but a liar Yeah, I walk right out the fire Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar [Bridge] If I was doin' what you do Then you would swear I poisoned you [Chorus] You're nothing but a liar (Liar) Yeah, I walk right out the fire (Fire) Yeah, you try to keep me down Try to put me underground But I'm only going higher I can hear you in my head In my bed when I'm dreaming You try to be my friend But you're blowing smoke Oh, and now, I ain't scared of Tellin' you where you can go 'Cause I know You're nothing but a liar"
2025,"After The Bars Are Closed","Thomas Rhett",NA,"Thomas Rhett","https://genius.com/Thomas-rhett-after-all-the-bars-are-closed-lyrics","13 Contributors After All The Bars Are Closed Lyrics [Chorus] After all the bars are closed Tell me where you wanna go We can find a place to park Open the bottle and our hearts If you want, I'll tell you anything you wanna know After everybody leaves And this party's just you and me We don't gotta say we're done We can just wait up for the sun We still got a lot of good night left to go After all the bars are closed [Verse 1] And they play the last song Blow out the neon Don't gotta go homeBut we can't stay here And them records all spun But the dancin' ain't done The night's only begun We can go anywhere Take a ride to the boondocks Turn my truck to a boombox, yeah Secret spot maybe you got [Chorus] After all the bars are closed Tell me where you wanna go We can find a place to park Open the bottle and our hearts If you want, I'll tell you anything you wanna know After everybody leaves And this party's just you and me We don't gotta say we're done We can just wait up for the sun We still got a lot of good night left to go After all the bars are closed [Verse 2] And you kiss me like that Like a shot of straight Jack Baby, you're my nightcap Take it right back After them after hours Be your bartender on the kitchen counter Wrappin' up the night, arms wrapped around ya Baby, now we're talkin' [Chorus] After all the bars are closed (All the bars are closed) Tell me where you wanna go (Where you wanna go?) We can find a place to park Open the bottle and our hearts If you want, I'll tell you anything you wanna know After everybody leaves (After everybody leaves) And this party's just you and me (This party's just you and me) We don't gotta say we're done We can just wait up on the sun We still got a lot of moonlight left to go After all the bars are closed [Post-Chorus] Mm-mm, mm-mm Mm-mm, mm-mm Mm-mm, mm-mm No, I don't care what we do On the dark side of the moon Just as long as I'm with you when it's time to go After all the bars are closed [Outro] All the bars are closed"
2025,"Hometown Home","LoCash",NA,"LoCash","https://genius.com/Locash-hometown-home-lyrics","5 Contributors Hometown Home Lyrics [Verse 1] We could try the coast of Carolina Catch the Outer Banks sunrise every day of our lives Find a little spot in Arizona Decorate the kitchen with a Tex-Mex vibe From the Sunshine State to the Golden Gate Anywhere you wanna roll, I'll love But I got another idea, we could kick it right here Ain't even gotta load that truck [Chorus] We could make this hometown home Keep our roots where they've always grown Find a fixer-upper down that road From the Church of Christ where you got baptized We could raise a couple kids up good In the same red dirt little neck of the woods, yeah Girl, I'm down to go anywhere you wanna go But if you wanna stay, I was thinking we could make This hometown home (We could make hometown home) [Verse 2] We can go to your grandma's every Sunday You know I love her and her five-star suppers Take it back to the field we had our first date Find a star we ain't wished on yet Girl, we just won't find our names spray painted Under any other Main Street bridge If we hit that road in a Winnebago Imagine all the things we'd miss [Chorus] We could make this hometown home Keep our roots where they've always grown Find a fixer-upper down that road From the Church of Christ where you got baptized We could raise a couple kids up good In the same red dirt little neck of the woods, yeah Girl, I'm down to go anywhere you wanna go But if you wanna stay, I was thinking we could make This hometown home We could make this hometown home [Bridge] From the Sunshine State to the Golden Gate Anywhere you wanna roll, I'll love But I got another idea, we can kick it right here Ain't even gotta load that truck [Chorus] We could make this hometown home Keep our roots where they've always grown Find a fixer-upper down that road From the Church of Christ where you got baptized We could raise a couple kids up good In the same red dirt little neck of the woods, yeah Girl, I'm down to go anywhere you wanna go But if you wanna stay, I was thinking we could make This hometown home (We could make this hometown home) Ooh, hometown home (We could make this hometown home) [Outro] We can make this hometown home (Hometown home)"
2025,"Just In Case","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-just-in-case-lyrics","19 Contributors Translations Español Just In Case Lyrics “Just in Case” is a song by American country music singer Morgan Wallen. It was released on March 21, 2025, through Big Loud, Republic, and Mercury Records, as the fourth single from his fourth studio album… Read More [Verse 1] I ain't sayin' that I always sleep alone I ain't sayin' that I ain't met no one else Done a little bit of midnight movin' onAnd I ain't sayin' when I do that it don't helpLeave with someone, I don't know her namePull her real close, but I leave some spaceAnd I could forget you, girl, for goodEven though I should [Chorus] I never let my heart go all the way Every time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in caseYou wake up wantin' me out of the blueYou lay down needin' what I used to doYeah, every now and then, I go get a tasteBut I never fall in love, baby, just in case Just in case [Verse 2] I always take it to the edge, then I back it upThey don't know I got a reason for actin' upI ain't felt a damn thing, baby, after usYeah, I'm just hopin' you'll come back to us That's wishful thinkin', baby, honestly But I know you ain't forgotten me [Chorus] So I never let my heart go all the wayEvery time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in case You wake up wantin' me out of the blue You lay down needin' what I used to do Yeah, every now and then, I go get a taste But I never fall in love, baby, just in caseJust in case [Bridge] Leave with someone, I don't know her name Pull her real close, but I leave some space Yeah, I could have three words on my tongueBut I won't ever say 'em [Chorus] 'Cause I never let my heart go all the way Every time I try, I just hit the brakes And there's always a couple tryna take your place But I never fall in love, baby, just in case You wake up wantin' me out of the blue You lay down needin' what I used to do Yeah, every now and then, I go get a taste But I never fall in love, baby, just in case Just in case"
2025,"Happen To Me","Russell Dickerson",NA,"Russell Dickerson","https://genius.com/Russell-dickerson-happen-to-me-lyrics","11 Contributors Happen to Me Lyrics [Verse 1] I don't know who broke up with who But she's in here chasin' tequila with High Noon Don't know how long she's been movin' on Maybe five weeks or five minutes, but it can't be too long And we did that ""What's your name?"" thing ""Where you from and what's your favorite drink?"" She said, ""Shut up, come and dance with me"" And now she's singin' [Chorus] ""Girls just wanna have fun"" at the top of her lungs Don't even know she's 'bout to wreck someone And, boy's, I'm in trouble now, ain't even tryna get out So, come on, baby, take me down, down, down, yeah Don't know what happened tonight, don't know what happened last week Don't know what happеned to her, but she's 'bout to happеn to me (Happen to me) She 'bout to happen to me [Verse 2] She'll probably bethe one that got away But right now, I'm takin' every second I can take So we keep talkin', and we keep drinkin' Oh, and I keep fallin' And she keeps on singin' [Chorus] ""Girls just wanna have fun"" at the top of her lungs Don't even know she's 'bout to wreck someone And, boy's, I'm in trouble now, ain't even tryna get out So, come on, baby, take me down, down, down, yeah Don't know what happened tonight, don't know what happened last week Don't know what happened to her, but she's 'bout to happen to me [Bridge] Oh, we keep on talkin', and we keep on drinkin' And I keep on fallin', she keeps on singin' Girls, mmm, girls, mmm-mmm Oh [Chorus] ""Girls just wanna have fun"" at the top of her lungs Don't even know she's 'bout to wreck someone (Wreck someone) And, boy's, I'm in trouble now, ain't even tryna get out So, come on, baby, take me down, down, down, yeah Don't know what happened tonight, don't know what happened last week Don't know what happened to her, but she's 'bout to happen to me (She 'bout to happen, mmm, she 'bout to happen) (Yeah, she 'bout to, she 'bout to, she 'bout to)"
2025,"Whiskey Drink","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-whiskey-drink-lyrics","8 Contributors Whiskey Drink Lyrics [Verse 1] Hey, whiskey drink I know it's been a while I gotta talk to you, gotta catch you up On the hell I'm in right now Yeah, whiskey drink Now, you won't believe The things I said, the way she left The way the leavin' all went down [Pre-Chorus] It might take all night To get her off my mind I need you one more time Yeah, be a good friend [Chorus] Come on, kick in, whiskey drink I don't wanna think, think, think About who she's with or where she is Or how bad I miss her now Come on, cigarette Yeah, smoke out that regret Pour it straight and strong, make her memory gone Before you let me leave Come on, whiskey drink, oh Come on, whiskey drink [Verse 2] Yeah, tell me, Jack Tell me that you got my back (That you got my back) And that you're in it with me 'til the bottle's empty Just like you always have Come on, help me out (Woah, help me out) Just get me by (Get me by) I'd rather be hungover than cold sober Still hung up on ""goodbye"" [Chorus] So come on, whiskey drink I don't wanna think, think, think About who she's with or where she is Or how bad I miss her now Come on, cigarette Yeah, smoke out that regret Pour it straight and strong, make her memory gone Before you let me leave Come on, whiskey drink, oh Come on, whiskey drink [Bridge] It might take all night (It might take all night) To get her off my mind (To get her off my mind) I need you one more time (One more time) [Chorus] So come on, whiskey drink I don't wanna think, think, think About who she's with or where she is Or how bad I miss her now (How bad I miss her now) Come on, cigarette Yeah, smoke out that regret (Oh, that regret) Pour it straight and strong, make her memory gone Before you let me leave Come on, whiskey drink, oh-oh, yeah Come on, whiskey drink [Post-Chorus] Come on, whiskey drink [Outro] (Be a good friend) (Go on, be a good friend now) (Be a good friend, whiskey drink, yeah)"
