Song,Artist,Year
“SexyBack” ,Justin Timberlake,2006
“Crazy” ,Gnarls Barkley,2006
“Irreplaceable” ,Beyoncé,2006
“Hips Don’t Lie”,Shakira feat. Wyclef Jean,2006
“Welcome to the Black Parade” ,My Chemical Romance,2006
“SOS” ,Rihanna,2006
“Temperature” ,Sean Paul,2006
“Before He Cheats”  ,Carrie Underwood,2006
“Promiscuous”  ,Nelly Furtado feat. Timbaland,2006
“Ridin'” ,Chamillionaire feat. Krayzie Bone,2006
“Fergalicious” ,Fergie feat. will.i.am,2006
“I Bet You Look Good on the Dancefloor” ,Arctic Monkeys,2006
“Put Your Records On” ,Corinne Bailey Rae,2006
“When You Were Young” ,The Killers,2006
“What You Know” ,T.I.,2006
“I Write Sins Not Tragedies” ,Panic! At the Disco,2006
“Wolf Like Me” ,TV on the Radio,2006
“Me & U” ,Cassie,2006
“Touch the Sky” ,Kanye West feat. Lupe Fiasco,2006
“Chasing Cars”,Snow Patrol,2006
"""Irreplaceable” ",Beyoncé,2007
"""Umbrella"" ",Rihanna featuring Jay-Z,2007
"“The Sweet Escape"" ",Gwen Stefani featuring Akon,2007
"""Big Girls Don't Cry"" ",Fergie,2007
"""Buy U a Drank (Shawty Snappin')"" ",T-Pain featuring Yung Joc,2007
"""Before He Cheats"" ",Carrie Underwood,2007
"""Hey There Delilah"" ",Plain White T's,2007
"“I Wanna Love You"" ",Akon featuring Snoop Dogg,2007
"""Say It Right"" ",Nelly Furtado,2007
"""Glamorous"" ",Fergie featuring Ludacris,2007
"""Don't Matter"" ",Akon,2007
"""Girlfriend"" ",Avril Lavigne,2007
"""Makes Me Wonder"" ",Maroon 5,2007
"""Party Like a Rockstar"" ",Shop Boyz,2007
"""Smack That"" ",Akon featuring Eminem,2007
"""This Is Why I'm Hot"" ",Mims,2007
"""It's Not Over"" ",Daughtry,2007
"""The Way I Are"" ",Timbaland featuring Keri Hilson,2007
"""Fergalicious"" ",Fergie featuring will.i.am,2007
"""Crank That (Soulja Boy)"" ",Soulja Boy Tell 'Em,2007
"""Low"" ",Flo Rida featuring T-Pain,2008
"""Bleeding Love""",Leona Lewis,2008
"""No One"" ",Alicia Keys,2008
"""Lollipop"" ",Lil Wayne featuring Static Major,2008
"""Apologize"" ",OneRepublic,2008
